protocol,run_id_unique,source_run_id,test_date_iso,campaign_folder,raw_xml,control_csv,raw_xml_size_bytes
TMCA,2026_3_15_TMCA__B7F0SL_5,B7F0SL_5,2026-03-15,2026_3_15_TMCA,raw_data/TMCA/2026_3_15_TMCA/B7F0SL_5.xml,data/control_csv/tmca_raw/2026_3_15_TMCA/B7F0SL_5.csv,11788018
TMCA,2026_3_15_TMCA__B7F0SL_6,B7F0SL_6,2026-03-15,2026_3_15_TMCA,raw_data/TMCA/2026_3_15_TMCA/B7F0SL_6.xml,data/control_csv/tmca_raw/2026_3_15_TMCA/B7F0SL_6.csv,11779227
TMCA,2026_3_15_TMCA__B7F0SL_7,B7F0SL_7,2026-03-15,2026_3_15_TMCA,raw_data/TMCA/2026_3_15_TMCA/B7F0SL_7.xml,data/control_csv/tmca_raw/2026_3_15_TMCA/B7F0SL_7.csv,11782980
TMCA,2026_3_15_TMCA__B7F5SL_10,B7F5SL_10,2026-03-15,2026_3_15_TMCA,raw_data/TMCA/2026_3_15_TMCA/B7F5SL_10.xml,data/control_csv/tmca_raw/2026_3_15_TMCA/B7F5SL_10.csv,11789318
TMCA,2026_3_15_TMCA__B7F5SL_11,B7F5SL_11,2026-03-15,2026_3_15_TMCA,raw_data/TMCA/2026_3_15_TMCA/B7F5SL_11.xml,data/control_csv/tmca_raw/2026_3_15_TMCA/B7F5SL_11.csv,11769487
TMCA,2026_3_15_TMCA__B7F5SL_12,B7F5SL_12,2026-03-15,2026_3_15_TMCA,raw_data/TMCA/2026_3_15_TMCA/B7F5SL_12.xml,data/control_csv/tmca_raw/2026_3_15_TMCA/B7F5SL_12.csv,11787885
TMCA,2026_3_15_TMCA__B7F5SL_13,B7F5SL_13,2026-03-15,2026_3_15_TMCA,raw_data/TMCA/2026_3_15_TMCA/B7F5SL_13.xml,data/control_csv/tmca_raw/2026_3_15_TMCA/B7F5SL_13.csv,11761200
TMCA,2026_3_15_TMCA__B7F5SL_8,B7F5SL_8,2026-03-15,2026_3_15_TMCA,raw_data/TMCA/2026_3_15_TMCA/B7F5SL_8.xml,data/control_csv/tmca_raw/2026_3_15_TMCA/B7F5SL_8.csv,11764542
TMCA,2026_3_15_TMCA__B7F5SL_9,B7F5SL_9,2026-03-15,2026_3_15_TMCA,raw_data/TMCA/2026_3_15_TMCA/B7F5SL_9.xml,data/control_csv/tmca_raw/2026_3_15_TMCA/B7F5SL_9.csv,11773466
TMCA,2026_3_27_TMCA__B6F5SL_14,B6F5SL_14,2026-03-27,2026_3_27_TMCA,raw_data/TMCA/2026_3_27_TMCA/B6F5SL_14.xml,data/control_csv/tmca_raw/2026_3_27_TMCA/B6F5SL_14.csv,11766560
TMCA,2026_3_27_TMCA__B7F0SL_15,B7F0SL_15,2026-03-27,2026_3_27_TMCA,raw_data/TMCA/2026_3_27_TMCA/B7F0SL_15.xml,data/control_csv/tmca_raw/2026_3_27_TMCA/B7F0SL_15.csv,11778994
TMCA,2026_3_27_TMCA__B7F0SL_H_16,B7F0SL_H_16,2026-03-27,2026_3_27_TMCA,raw_data/TMCA/2026_3_27_TMCA/B7F0SL_H_16.xml,data/control_csv/tmca_raw/2026_3_27_TMCA/B7F0SL_H_16.csv,11793534
TMCA,2026_3_27_TMCA__B7F0SL_H_17,B7F0SL_H_17,2026-03-27,2026_3_27_TMCA,raw_data/TMCA/2026_3_27_TMCA/B7F0SL_H_17.xml,data/control_csv/tmca_raw/2026_3_27_TMCA/B7F0SL_H_17.csv,11795833
TMCA,2026_3_27_TMCA__spring_10,spring_10,2026-03-27,2026_3_27_TMCA,raw_data/TMCA/2026_3_27_TMCA/spring_10.xml,data/control_csv/tmca_raw/2026_3_27_TMCA/spring_10.csv,11243773
TMCA,2026_3_27_TMCA__spring_11,spring_11,2026-03-27,2026_3_27_TMCA,raw_data/TMCA/2026_3_27_TMCA/spring_11.xml,data/control_csv/tmca_raw/2026_3_27_TMCA/spring_11.csv,11800982
TMCA,2026_3_27_TMCA__spring_12,spring_12,2026-03-27,2026_3_27_TMCA,raw_data/TMCA/2026_3_27_TMCA/spring_12.xml,data/control_csv/tmca_raw/2026_3_27_TMCA/spring_12.csv,11885142
TMCA,2026_3_27_TMCA__spring_6,spring_6,2026-03-27,2026_3_27_TMCA,raw_data/TMCA/2026_3_27_TMCA/spring_6.xml,data/control_csv/tmca_raw/2026_3_27_TMCA/spring_6.csv,11761325
TMCA,2026_3_27_TMCA__spring_7,spring_7,2026-03-27,2026_3_27_TMCA,raw_data/TMCA/2026_3_27_TMCA/spring_7.xml,data/control_csv/tmca_raw/2026_3_27_TMCA/spring_7.csv,10939123
TMCA,2026_3_27_TMCA__spring_8,spring_8,2026-03-27,2026_3_27_TMCA,raw_data/TMCA/2026_3_27_TMCA/spring_8.xml,data/control_csv/tmca_raw/2026_3_27_TMCA/spring_8.csv,10939126
TMCA,2026_3_27_TMCA__spring_9,spring_9,2026-03-27,2026_3_27_TMCA,raw_data/TMCA/2026_3_27_TMCA/spring_9.xml,data/control_csv/tmca_raw/2026_3_27_TMCA/spring_9.csv,11740601
TMCA,2026_3_29_TMCA__B6F0SL_20,B6F0SL_20,2026-03-29,2026_3_29_TMCA,raw_data/TMCA/2026_3_29_TMCA/B6F0SL_20.xml,data/control_csv/tmca_raw/2026_3_29_TMCA/B6F0SL_20.csv,11778613
TMCA,2026_3_29_TMCA__B6F0SL_H_21,B6F0SL_H_21,2026-03-29,2026_3_29_TMCA,raw_data/TMCA/2026_3_29_TMCA/B6F0SL_H_21.xml,data/control_csv/tmca_raw/2026_3_29_TMCA/B6F0SL_H_21.csv,11788624
TMCA,2026_3_29_TMCA__B6F0SL_H_22,B6F0SL_H_22,2026-03-29,2026_3_29_TMCA,raw_data/TMCA/2026_3_29_TMCA/B6F0SL_H_22.xml,data/control_csv/tmca_raw/2026_3_29_TMCA/B6F0SL_H_22.csv,11782004
TMCA,2026_3_29_TMCA__B7FT7SL_18,B7FT7SL_18,2026-03-29,2026_3_29_TMCA,raw_data/TMCA/2026_3_29_TMCA/B7FT7SL_18.xml,data/control_csv/tmca_raw/2026_3_29_TMCA/B7FT7SL_18.csv,11678869
TMCA,2026_3_29_TMCA__B7FT7SL_19,B7FT7SL_19,2026-03-29,2026_3_29_TMCA,raw_data/TMCA/2026_3_29_TMCA/B7FT7SL_19.xml,data/control_csv/tmca_raw/2026_3_29_TMCA/B7FT7SL_19.csv,11785434
