run_id,protocol,control_csv,test_date_iso,condition_id,material_category,base_material,filler_material,weld_process,current_a,voltage_v,heat_input_kj_mm,shielding_gas,preheat_c,spacer_mm,sheet_thickness_mm,k_factor,v_high_mm_s,v_step_mm_s,a_dec_mm_s2,weld_start_method,weld_start_time_s,manual_load_rise_time_s,manual_load_to_start_delay_s,fixed_start_time_s,load_rise_delta_n,load_baseline_window_s,weld_end_time_s,weld_travel_speed_mm_s,speed_transition_weld_length_mm,deceleration_start_weld_length_mm,l_weld_mm,l_crack_mm,l_surf_mm,l_ct_mm,l_star,v_nc_mm_s,crack_state,load_increase_acceptance,include_in_summary,show_temperature,temperature_columns,notes,source_run_id,campaign_folder,raw_xml
10_2025_TMW__B7F5SL8_9,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F5SL8_9.csv,2025-10-26,AA7075_ER5356_180A,Aluminum alloy,AA7075,ER5356,GTAW,180,,,Ar,,,,,,0.13,,manifest,13.029870409851393,,,,,,,2.1,,,,,,,0.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F5SL8_9,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F5SL8_9.xml
10_2025_TMW__B7F5SL10_11,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F5SL10_11.csv,2025-10-26,AA7075_ER5356_180A,Aluminum alloy,AA7075,ER5356,GTAW,180,,,Ar,,,,,,0.132,,manifest,11.630617475082918,,,,,,,2.1,,,,,,,0.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F5SL10_11,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F5SL10_11.xml
10_2025_TMW__B7F5SL9_10,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F5SL9_10.csv,2025-10-26,AA7075_ER5356_180A,Aluminum alloy,AA7075,ER5356,GTAW,180,,,Ar,,,,,,0.135,,manifest,11.787246944555289,,,,,,,2.1,,,,,,,0.757,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F5SL9_10,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F5SL9_10.xml
10_2025_TMW__B7F5SL7_8,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F5SL7_8.csv,2025-10-26,AA7075_ER5356_180A,Aluminum alloy,AA7075,ER5356,GTAW,180,,,Ar,,,,,,0.14,,manifest,12.081592902494142,,,,,,,2.1,,,,,,,1.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F5SL7_8,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F5SL7_8.xml
2026_2_26_TMW__B6F0SL_15,TMW,data/control_csv/tmw_raw/2026_2_26_TMW/B6F0SL_15.csv,2026-02-26,AA6061_Autogenous_160A,Aluminum alloy,AA6061,Autogenous,GTAW,160,,,Ar,,,,,,0.02,,manifest,14.38212242247659,,,,,,,2.1,,,,,,,0.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B6F0SL_15,2026_2_26_TMW,raw_data/TMW/2026_2_26_TMW/B6F0SL_15.xml
2026_2_26_TMW__B6F0SL_16,TMW,data/control_csv/tmw_raw/2026_2_26_TMW/B6F0SL_16.csv,2026-02-26,AA6061_Autogenous_160A,Aluminum alloy,AA6061,Autogenous,GTAW,160,,,Ar,,,,,,0.04,,manifest,14.007596506821598,,,,,,,2.1,,,,,,,0.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B6F0SL_16,2026_2_26_TMW,raw_data/TMW/2026_2_26_TMW/B6F0SL_16.xml
2026_2_26_TMW__B6F0SL_17,TMW,data/control_csv/tmw_raw/2026_2_26_TMW/B6F0SL_17.csv,2026-02-26,AA6061_Autogenous_160A,Aluminum alloy,AA6061,Autogenous,GTAW,160,,,Ar,,,,,,0.06,,manifest,13.94683648398659,,,,,,,2.1,,,,,,,1.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B6F0SL_17,2026_2_26_TMW,raw_data/TMW/2026_2_26_TMW/B6F0SL_17.xml
2026_2_26_TMW__B6F0SL_18,TMW,data/control_csv/tmw_raw/2026_2_26_TMW/B6F0SL_18.csv,2026-02-26,AA6061_Autogenous_160A,Aluminum alloy,AA6061,Autogenous,GTAW,160,,,Ar,,,,,,0.05,,manifest,14.02940776209677,,,,,,,2.1,,,,,,,1.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B6F0SL_18,2026_2_26_TMW,raw_data/TMW/2026_2_26_TMW/B6F0SL_18.xml
2026_2_26_TMW__B6F0SL_19,TMW,data/control_csv/tmw_raw/2026_2_26_TMW/B6F0SL_19.csv,2026-02-26,AA6061_Autogenous_160A,Aluminum alloy,AA6061,Autogenous,GTAW,160,,,Ar,,,,,,0.045,,manifest,13.999645620610035,,,,,,,2.1,,,,,,,0.8564516129032258,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B6F0SL_19,2026_2_26_TMW,raw_data/TMW/2026_2_26_TMW/B6F0SL_19.xml
2026_2_26_TMW__B6F0SL_20,TMW,data/control_csv/tmw_raw/2026_2_26_TMW/B6F0SL_20.csv,2026-02-26,AA6061_Autogenous_160A,Aluminum alloy,AA6061,Autogenous,GTAW,160,,,Ar,,,,,,0.042,,manifest,12.785383902763327,,,,,,,2.1,,,,,,,0.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B6F0SL_20,2026_2_26_TMW,raw_data/TMW/2026_2_26_TMW/B6F0SL_20.xml
2026_2_26_TMW__B6F0SL_21,TMW,data/control_csv/tmw_raw/2026_2_26_TMW/B6F0SL_21.csv,2026-02-26,AA6061_Autogenous_160A,Aluminum alloy,AA6061,Autogenous,GTAW,160,,,Ar,,,,,,0.044,,manifest,14.112135532286969,,,,,,,2.1,,,,,,,1.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B6F0SL_21,2026_2_26_TMW,raw_data/TMW/2026_2_26_TMW/B6F0SL_21.xml
2026_2_26_TMW__B6F0SL_24,TMW,data/control_csv/tmw_raw/2026_2_26_TMW/B6F0SL_24.csv,2026-02-26,AA6061_Autogenous_160A,Aluminum alloy,AA6061,Autogenous,GTAW,160,,,Ar,,,,,,0.045,,manifest,14.073238166081339,,,,,,,2.1,,,,,,,0.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B6F0SL_24,2026_2_26_TMW,raw_data/TMW/2026_2_26_TMW/B6F0SL_24.xml
2026_2_26_TMW__B6F5SL_4,TMW,data/control_csv/tmw_raw/2026_2_26_TMW/B6F5SL_4.csv,2026-03-03,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,,,,,0.05,,manifest,14.03770161380651,,,,,,,2.1,,,,,,,0.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B6F5SL_4,2026_2_26_TMW,raw_data/TMW/2026_2_26_TMW/B6F5SL_4.xml
2026_2_26_TMW__B6F5SL_5,TMW,data/control_csv/tmw_raw/2026_2_26_TMW/B6F5SL_5.csv,2026-03-03,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,,,,,0.07,,manifest,13.988636749913292,,,,,,,2.1,,,,,,,0.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B6F5SL_5,2026_2_26_TMW,raw_data/TMW/2026_2_26_TMW/B6F5SL_5.xml
2026_2_26_TMW__B6F5SL_6,TMW,data/control_csv/tmw_raw/2026_2_26_TMW/B6F5SL_6.csv,2026-03-03,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,,,,,0.09,,manifest,14.031984564689562,,,,,,,2.1,,,,,,,1.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B6F5SL_6,2026_2_26_TMW,raw_data/TMW/2026_2_26_TMW/B6F5SL_6.xml
2026_2_26_TMW__B6F5SL_7,TMW,data/control_csv/tmw_raw/2026_2_26_TMW/B6F5SL_7.csv,2026-03-03,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,,,,,0.08,,manifest,13.998122479838711,,,,,,,2.1,,,,,,,0.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B6F5SL_7,2026_2_26_TMW,raw_data/TMW/2026_2_26_TMW/B6F5SL_7.xml
2026_2_26_TMW__B6F5SL_8,TMW,data/control_csv/tmw_raw/2026_2_26_TMW/B6F5SL_8.csv,2026-03-03,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,,,,,0.085,,manifest,14.062646079929761,,,,,,,2.1,,,,,,,0.7154994259471872,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B6F5SL_8,2026_2_26_TMW,raw_data/TMW/2026_2_26_TMW/B6F5SL_8.xml
2026_2_26_TMW__B6F5SL_9,TMW,data/control_csv/tmw_raw/2026_2_26_TMW/B6F5SL_9.csv,2026-03-03,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,,,,,0.082,,manifest,14.029605890131808,,,,,,,2.1,,,,,,,1.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B6F5SL_9,2026_2_26_TMW,raw_data/TMW/2026_2_26_TMW/B6F5SL_9.xml
2026_2_26_TMW__B6F5SL_10,TMW,data/control_csv/tmw_raw/2026_2_26_TMW/B6F5SL_10.csv,2026-03-03,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,,,,,0.082,,manifest,13.966976521852235,,,,,,,2.1,,,,,,,0.3203883495145631,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B6F5SL_10,2026_2_26_TMW,raw_data/TMW/2026_2_26_TMW/B6F5SL_10.xml
2026_2_26_TMW__B6F5SL_11,TMW,data/control_csv/tmw_raw/2026_2_26_TMW/B6F5SL_11.csv,2026-03-03,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,,,,,0.087,,manifest,13.978519760232398,,,,,,,2.1,,,,,,,0.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B6F5SL_11,2026_2_26_TMW,raw_data/TMW/2026_2_26_TMW/B6F5SL_11.xml
